method,lr,step,x,y,loss
Adam_Sequential,0.1,1,-3.92694,2.95023,216246
Adam_Sequential,0.1,2,-3.82722,2.85071,193801
Adam_Sequential,0.1,3,-3.72799,2.75202,173272
Adam_Sequential,0.1,4,-3.62945,2.65453,154562
Adam_Sequential,0.1,5,-3.53179,2.55862,137572
Adam_Sequential,0.1,6,-3.43523,2.46466,122203
Adam_Sequential,0.1,7,-3.33996,2.37301,108352
Adam_Sequential,0.1,8,-3.24617,2.28402,95920.2
Adam_Sequential,0.1,9,-3.15406,2.19801,84804.5
Adam_Sequential,0.1,10,-3.06378,2.11526,74904.7
Adam_Sequential,0.1,11,-2.9755,2.03602,66121.5
Adam_Sequential,0.1,12,-2.88938,1.96046,58356.7
Adam_Sequential,0.1,13,-2.80552,1.88875,51513.6
Adam_Sequential,0.1,14,-2.72406,1.82099,45496.8
Adam_Sequential,0.1,15,-2.64507,1.75722,40214.6
Adam_Sequential,0.1,16,-2.56865,1.69747,35581.6
Adam_Sequential,0.1,17,-2.49485,1.64171,31521.1
Adam_Sequential,0.1,18,-2.42371,1.58987,27965.2
Adam_Sequential,0.1,19,-2.35526,1.54188,24854.6
Adam_Sequential,0.1,20,-2.28951,1.49761,22136.1
Adam_Sequential,0.1,21,-2.22645,1.45694,19761.7
Adam_Sequential,0.1,22,-2.16608,1.41973,17687.2
Adam_Sequential,0.1,23,-2.10835,1.38581,15872
Adam_Sequential,0.1,24,-2.05323,1.35501,14279.2
Adam_Sequential,0.1,25,-2.00068,1.32717,12875.9
Adam_Sequential,0.1,26,-1.95063,1.30211,11633.4
Adam_Sequential,0.1,27,-1.90302,1.27965,10527.4
Adam_Sequential,0.1,28,-1.85777,1.25962,9538.08
Adam_Sequential,0.1,29,-1.81483,1.24184,8649.38
Adam_Sequential,0.1,30,-1.7741,1.22614,7848.9
Adam_Sequential,0.1,31,-1.73551,1.21236,7127.09
Adam_Sequential,0.1,32,-1.69898,1.20033,6476.63
Adam_Sequential,0.1,33,-1.66442,1.1899,5891.81
Adam_Sequential,0.1,34,-1.63175,1.1809,5367.98
Adam_Sequential,0.1,35,-1.60088,1.17321,4901.1
Adam_Sequential,0.1,36,-1.57174,1.16667,4487.33
Adam_Sequential,0.1,37,-1.54424,1.16115,4122.77
Adam_Sequential,0.1,38,-1.5183,1.15652,3803.3
Adam_Sequential,0.1,39,-1.49385,1.15266,3524.52
Adam_Sequential,0.1,40,-1.47081,1.14946,3281.69
Adam_Sequential,0.1,41,-1.44911,1.14681,3069.9
Adam_Sequential,0.1,42,-1.42867,1.14461,2884.19
Adam_Sequential,0.1,43,-1.40943,1.14276,2719.79
Adam_Sequential,0.1,44,-1.39132,1.14118,2572.32
Adam_Sequential,0.1,45,-1.37427,1.13979,2437.98
Adam_Sequential,0.1,46,-1.35823,1.13851,2313.7
Adam_Sequential,0.1,47,-1.34314,1.13728,2197.2
Adam_Sequential,0.1,48,-1.32895,1.13605,2086.95
Adam_Sequential,0.1,49,-1.31559,1.13475,1982.11
Adam_Sequential,0.1,50,-1.30302,1.13335,1882.33
Adam_Sequential,0.1,51,-1.2912,1.1318,1787.62
Adam_Sequential,0.1,52,-1.28006,1.13008,1698.19
Adam_Sequential,0.1,53,-1.26959,1.12816,1614.29
Adam_Sequential,0.1,54,-1.25972,1.12601,1536.14
Adam_Sequential,0.1,55,-1.25042,1.12362,1463.82
Adam_Sequential,0.1,56,-1.24166,1.12099,1397.27
Adam_Sequential,0.1,57,-1.2334,1.1181,1336.29
Adam_Sequential,0.1,58,-1.2256,1.11495,1280.55
Adam_Sequential,0.1,59,-1.21825,1.11156,1229.61
Adam_Sequential,0.1,60,-1.21129,1.10791,1182.97
Adam_Sequential,0.1,61,-1.20472,1.10403,1140.11
Adam_Sequential,0.1,62,-1.19849,1.09993,1100.5
Adam_Sequential,0.1,63,-1.19259,1.09561,1063.64
Adam_Sequential,0.1,64,-1.187,1.0911,1029.09
Adam_Sequential,0.1,65,-1.18169,1.0864,996.449
Adam_Sequential,0.1,66,-1.17663,1.08155,965.381
Adam_Sequential,0.1,67,-1.17182,1.07656,935.614
Adam_Sequential,0.1,68,-1.16723,1.07144,906.94
Adam_Sequential,0.1,69,-1.16285,1.06622,879.202
Adam_Sequential,0.1,70,-1.15866,1.06092,852.296
Adam_Sequential,0.1,71,-1.15464,1.05556,826.16
Adam_Sequential,0.1,72,-1.15079,1.05015,800.766
Adam_Sequential,0.1,73,-1.14708,1.04471,776.112
Adam_Sequential,0.1,74,-1.14351,1.03927,752.218
Adam_Sequential,0.1,75,-1.14006,1.03383,729.113
Adam_Sequential,0.1,76,-1.13673,1.02841,706.834
Adam_Sequential,0.1,77,-1.13351,1.02303,685.417
Adam_Sequential,0.1,78,-1.13038,1.0177,664.895
Adam_Sequential,0.1,79,-1.12733,1.01243,645.291
Adam_Sequential,0.1,80,-1.12437,1.00723,626.622
Adam_Sequential,0.1,81,-1.12148,1.00211,608.889
Adam_Sequential,0.1,82,-1.11866,0.997072,592.084
Adam_Sequential,0.1,83,-1.1159,0.992132,576.186
Adam_Sequential,0.1,84,-1.11319,0.987291,561.165
Adam_Sequential,0.1,85,-1.11054,0.982555,546.978
Adam_Sequential,0.1,86,-1.10793,0.977926,533.579
Adam_Sequential,0.1,87,-1.10536,0.973407,520.914
Adam_Sequential,0.1,88,-1.10283,0.969,508.926
Adam_Sequential,0.1,89,-1.10034,0.964706,497.558
Adam_Sequential,0.1,90,-1.09787,0.960524,486.75
Adam_Sequential,0.1,91,-1.09544,0.956454,476.446
Adam_Sequential,0.1,92,-1.09304,0.952495,466.591
Adam_Sequential,0.1,93,-1.09066,0.948645,457.134
Adam_Sequential,0.1,94,-1.0883,0.944902,448.026
Adam_Sequential,0.1,95,-1.08596,0.941264,439.226
Adam_Sequential,0.1,96,-1.08365,0.937727,430.699
Adam_Sequential,0.1,97,-1.08135,0.934289,422.414
Adam_Sequential,0.1,98,-1.07907,0.930946,414.352
Adam_Sequential,0.1,99,-1.07681,0.927695,406.5
Adam_Sequential,0.1,100,-1.07456,0.924532,398.85
Adam_Parallel,0.1,10,0.777601,0.609302,84721.8
Adam_Parallel,0.1,20,0.399702,0.0174378,27641
Adam_Parallel,0.1,30,0.021039,-0.207048,10051
